id,style_name,status
1,Ligne Claire,
2,Franco-Belgian Caricature,
3,Bande Dessinée Réaliste,
4,Golden Age American Comics,
5,Silver Age Superhero,
6,Bronze Age Comics,
7,Modern Age / Image Comics,
8,Underground Comix,
9,Newspaper Comic Strip,
10,Indie Graphic Novel,
11,Superhero House,
12,Webcomic,
13,Shōnen Manga,
14,Shōjo Manga,
15,Seinen Manga,
16,Josei Manga,
17,Kodomomuke Manga,
18,Horror Manga,
19,Mecha Manga,
20,Isekai Manga,
21,Disney Classic Animation,
22,Disney Renaissance,
23,Disney Modern 3D,
24,Studio Ghibli,
25,Don Bluth Animation,
26,UPA Limited Animation,
27,Rankin/Bass Stop Motion,
28,Cartoon Network Classic,
29,Adventure Time,
30,Steven Universe,
31,Gravity Falls,
32,Rick and Morty,
33,Nickelodeon 90s,
34,SpongeBob,
35,Pixar 3D,
36,DreamWorks Animation,
37,Anime General,
38,Kyoto Animation,
39,Studio Trigger,
40,Chibi / Super-Deformed,
41,Webtoon,
42,Manhwa,
43,Manhua,
44,Flat Vector Illustration,
45,Risograph Print,
46,Pixel Art,
47,Indie Game Art,
48,Cuphead,
49,Concept Art Keyframe,
50,Modern Cartoon Caricature,
51,Children's Book Watercolor,
52,Eric Carle Collage,
53,Quentin Blake,
54,Tove Jansson,
55,Jan Brett,
56,Nordic Children's Illustration,
57,Vintage French Illustration,
58,Soviet Children's Illustration,
59,Editorial Cartoon,
60,Kawaii,
61,Animal Crossing,
62,Pokémon,
63,LINE Friends,
64,Looney Tunes,
65,Hanna-Barbera,
66,The Simpsons,skipped
67,Family Guy,skipped
68,Futurama,skipped
69,South Park,
70,Bob's Burgers,skipped
71,Archer Sitcom,
72,King of the Hill,skipped
73,Fleischer Studios,
74,Filmation,
75,Spider-Verse,
76,Arcane,
77,Klaus,
78,Cartoon Saloon,
79,EC Comics,
80,Archie Comics,
81,MAD Magazine,
82,2000 AD,
83,Heavy Metal,
84,Dr. Seuss,
85,Richard Scarry,
86,Little Golden Books,
87,Curious George,
88,Goodnight Moon,
89,Chris Van Allsburg,
90,Mo Willems,
91,Little Critter,
92,The Gruffalo,
93,Elmer Patchwork,
94,Peppa Pig,
95,Bluey,
96,Hey Duggee,
97,Charlie and Lola,
98,Leo Lionni,
99,Sandra Boynton,
100,Mo Willems Unlimited Squiggles,
101,Madeline,
102,Harold and the Purple Crayon,
103,Miffy / Dick Bruna,
104,Olivia,
105,Make Way for Ducklings,
106,Brambly Hedge,
107,Frog and Toad,
108,Rainbow Fish,
109,Winnie the Pooh Classic,skipped
110,The Snowman,
111,Diary of a Wimpy Kid,
112,Babar,
113,Illumination,
114,Aardman,
115,Laika Studios,
116,Blue Sky Studios,
117,MGM Animation,
118,Toei Animation,
119,MAPPA Studio,
120,Bones Studio,
121,Klasky Csupo,
122,Madhouse Studio,
123,Production I.G.,
124,Beatrix Potter,
125,Paddington Bear,
126,Corduroy,
127,Strega Nona,
128,Pippi Longstocking,
129,The Tiger Who Came to Tea,
130,Spot the Dog,
131,Maisy Mouse,
132,Clifford the Big Red Dog,
133,Franklin the Turtle,
134,Berenstain Bears,
135,Arthur,
136,Smurfs,
137,Lucky Luke,
138,Spirou,
139,Wimmelbook,
140,Japanese Ehon,
141,Captain Underpants,
142,Old Bear,
143,Impressionism,
144,Gouache Illustration,
145,Pointillism,
146,Fauvism,
147,Folk Art / Naive Art,
148,Stained Glass,
149,Lino Cut / Woodcut,
150,Pastel Drawing,
151,Post-Impressionism,
152,Art Nouveau,
153,Art Deco,
154,Pop Art,
155,Surrealism,
156,Ukiyo-e,
157,Baroque,
158,Pre-Raphaelite,
159,Mexican Muralism,
160,Chinese Ink Wash,
161,Cubism,
162,Frank Miller,
163,Mike Mignola,
164,Jack Kirby,
165,Moebius,
166,Will Eisner,
167,Bill Sienkiewicz,
168,Jeff Smith,
169,Osamu Tezuka,
170,Norman Rockwell,
171,Maxfield Parrish,
172,N.C. Wyeth,
173,Howard Pyle,
174,Alphonse Mucha,
